Roles,Games,# Players,# Minions,% Evil Win,STD-ERROR,ConInt95,Avg Days,Avg Days|Evil Win,Avg Days|Good Win;Roles;Games;# Players;# Minions;% Evil Win;STD-ERROR;ConInt95;Avg Days;Avg Days|Evil Win;Avg Days|Good Win
;"Demon;ScarletWoman;Boomdandy;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4505;0.00498;(0.44075, 0.46025);4.2155;4.09034;4.31811
;"Demon;ScarletWoman;Boomdandy;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.6226;0.00485;(0.6131, 0.6321);3.9597;3.6142;4.52968
;"Demon;ScarletWoman;Boomdandy;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.594;0.00491;(0.58437, 0.60363);3.9076;3.98199;3.79877
;"Demon;ScarletWoman;Boomdandy;Saint;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.4505;0.00498;(0.44075, 0.46025);4.2155;4.09034;4.31811
;"Demon;ScarletWoman;Boomdandy;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.5888;0.00492;(0.57916, 0.59844);4.0622;4.06929;4.05204
;"Demon;ScarletWoman;Boomdandy;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5972;0.0049;(0.58759, 0.60681);4.3641;4.44424;4.24528
;"Demon;ScarletWoman;Boomdandy;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.4932;0.005;(0.4834, 0.503);4.3913;4.43998;4.34392
;"Demon;ScarletWoman;Boomdandy;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4597;0.00498;(0.44993, 0.46947);4.7635;4.68827;4.8275
;"Demon;ScarletWoman;Boomdandy;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5972;0.0049;(0.58759, 0.60681);4.3641;4.44424;4.24528
;"Demon;ScarletWoman;Boomdandy;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4597;0.00498;(0.44993, 0.46947);4.7635;4.68827;4.8275
;"Demon;ScarletWoman;Boomdandy;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5972;0.0049;(0.58759, 0.60681);4.3641;4.44424;4.24528
;"Demon;ScarletWoman;Boomdandy;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.4597;0.00498;(0.44993, 0.46947);4.7635;4.68827;4.8275
;"Demon;ScarletWoman;Goblin;Good;Good;Good;Good;Good;Good;Good";10000;10;2;0.7757;0.00417;(0.76752, 0.78388);3.2605;3.18577;3.51895
;"Demon;ScarletWoman;Goblin;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.7233;0.00447;(0.71453, 0.73207);3.5962;3.43661;4.01337
;"Demon;ScarletWoman;Goblin;Outsider;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.7616;0.00426;(0.75325, 0.76995);3.9033;3.79701;4.24287
;"Demon;ScarletWoman;Goblin;Witch;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.7567;0.00429;(0.74829, 0.76511);4.0542;3.90881;4.50637
;"Demon;ScarletWoman;Goblin;Witch;Outsider;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7685;0.00422;(0.76023, 0.77677);4.4062;4.27703;4.83499
;"Demon;ScarletWoman;Goblin;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;10;2;0.5996;0.0049;(0.59, 0.6092);3.5597;3.26501;4.001
;"Demon;ScarletWoman;Goblin;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.6308;0.00483;(0.62134, 0.64026);3.7874;3.60938;4.09155
;"Demon;ScarletWoman;Goblin;Outsider;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5731;0.00495;(0.56341, 0.58279);4.2041;3.82394;4.71445
;"Demon;ScarletWoman;Goblin;Witch;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;13;3;0.6157;0.00486;(0.60617, 0.62523);4.3827;4.14861;4.75774
;"Demon;ScarletWoman;Goblin;Witch;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5922;0.00491;(0.58257, 0.60183);4.7528;4.39277;5.27563
;"Demon;ScarletWoman;Goblin;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.7233;0.00447;(0.71453, 0.73207);3.5962;3.43661;4.01337
;"Demon;ScarletWoman;Goblin;Klutz;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.7616;0.00426;(0.75325, 0.76995);3.9033;3.79701;4.24287
;"Demon;ScarletWoman;Goblin;Witch;Klutz;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7685;0.00422;(0.76023, 0.77677);4.4062;4.27703;4.83499
;"Demon;ScarletWoman;Goblin;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.6308;0.00483;(0.62134, 0.64026);3.7874;3.60938;4.09155
;"Demon;ScarletWoman;Goblin;Klutz;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5731;0.00495;(0.56341, 0.58279);4.2041;3.82394;4.71445
;"Demon;ScarletWoman;Goblin;Witch;Klutz;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5922;0.00491;(0.58257, 0.60183);4.7528;4.39277;5.27563
;"Demon;ScarletWoman;Goblin;Saint;Good;Good;Good;Good;Good;Good;Good";10000;11;2;0.7233;0.00447;(0.71453, 0.73207);3.5962;3.43661;4.01337
;"Demon;ScarletWoman;Goblin;Saint;Outsider;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.7616;0.00426;(0.75325, 0.76995);3.9033;3.79701;4.24287
;"Demon;ScarletWoman;Goblin;Witch;Saint;Good;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.7685;0.00422;(0.76023, 0.77677);4.4062;4.27703;4.83499
;"Demon;ScarletWoman;Goblin;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;11;2;0.6308;0.00483;(0.62134, 0.64026);3.7874;3.60938;4.09155
;"Demon;ScarletWoman;Goblin;Saint;Outsider;PoppyGrower;Good;Good;Good;Good;Good;Good";10000;12;2;0.5731;0.00495;(0.56341, 0.58279);4.2041;3.82394;4.71445
;"Demon;ScarletWoman;Goblin;Witch;Saint;PoppyGrower;Good;Good;Good;Good;Good;Good;Good;Good";10000;14;3;0.5922;0.00491;(0.58257, 0.60183);4.7528;4.39277;5.27563
;"Demon;ScarletWoman;Goblin;Saint;Klutz;Good;Good;Good;Good;Good;Good;Good";10000;12;2;0.7616;0.00426;(0.75325, 0.76995);3.9033;3.79701;4.24287
